run,figure,step,agent_name,agent_version,model,pricing_profile,created_at,response_id,dry_run,input_tokens,cache_write_tokens,cached_tokens,uncached_input_tokens,output_tokens,reasoning_tokens,total_tokens,cache_hit_pct,estimated_uncached_input_cost_usd,estimated_cache_write_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,source_path
combined_02,fig2a,agent03_review_points,agent03-extraction,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:50:47.299913+00:00,resp_02cb3d1ffecee65b006ab58d0c1c188193ad3f1a3410c3ad86,False,70043,70040,0,3,3963,2402,74006,0.0,0.00000060,0.01751000,0.00000000,0.00475560,0.02226620,combined_02/fig2a/agent03_review_points.provenance.json
combined_02,fig2b,agent03_review_points,agent03-extraction,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:56:15.149646+00:00,resp_03b6f476bdbc9e1d006ab58e3b77c481959d23d1282868f037,False,19749,19746,0,3,7920,3998,27669,0.0,0.00000060,0.00493650,0.00000000,0.00950400,0.01444110,combined_02/fig2b/agent03_review_points.provenance.json
combined_02,fig3a,agent03_review_points,agent03-extraction,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T21:59:55.662846+00:00,resp_089e70644dbb03ad006ab59d422a40819389d1d94a5bb2b637,False,12420,12417,0,3,5012,3550,17432,0.0,0.00000060,0.00310425,0.00000000,0.00601440,0.00911925,combined_02/fig3a/agent03_review_points.provenance.json
combined_02,fig3a,agent04_final_check,agent04-qa,4,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T20:36:01.260646+00:00,resp_045af957089691b2006ab589ae8c4881909b906c195114e454,False,7945,7942,0,3,1060,473,9005,0.0,0.00001200,0.03971000,0.00000000,0.02120000,0.06092200,combined_02/fig3a/agent04_final_check.provenance.json
combined_02,fig2a,agent04_final_check,agent04-qa,4,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T20:52:13.815345+00:00,resp_05e7ecced67c960b006ab58d4eab4c8196b83c191e34cf72d2,False,13791,13788,0,3,6872,2404,20663,0.0,0.00001200,0.06894000,0.00000000,0.13744000,0.20639200,combined_02/fig2a/agent04_final_check.provenance.json
combined_02,fig2b,agent04_final_check,agent04-qa,4,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T20:57:10.475201+00:00,resp_02cdc9bf6c4a0b9d006ab58e8791e081979547b57ce275a56c,False,8772,8769,0,3,4087,2308,12859,0.0,0.00001200,0.04384500,0.00000000,0.08174000,0.12559700,combined_02/fig2b/agent04_final_check.provenance.json
combined_03,discovery,agent00_find_figures:xref:4,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:30:24.456277+00:00,resp_0d078ea3842a09c1006ab5a48149088194b54cc63de4f33890,False,8313,8310,0,3,1017,381,9330,0.0,0.00001200,0.04155000,0.00000000,0.02034000,0.06190200,combined_03/discovery/agent00_find_figures.json#1
combined_03,discovery,agent00_find_figures:xref:11,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:30:36.638282+00:00,resp_0af3d55784de7f12006ab5a49022088195a07a2673264fc252,False,7417,7414,0,3,872,221,8289,0.0,0.00001200,0.03707000,0.00000000,0.01744000,0.05452200,combined_03/discovery/agent00_find_figures.json#2
combined_03,discovery,agent00_find_figures:xref:16,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:31:00.336223+00:00,resp_0a5646bbce34422c006ab5a49c51bc8195ba844a3dfe85838b,False,8692,8689,0,3,2123,683,10815,0.0,0.00001200,0.04344500,0.00000000,0.04246000,0.08591700,combined_03/discovery/agent00_find_figures.json#3
combined_03,discovery,agent00_find_figures:xref:59,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:31:12.437899+00:00,resp_0a979e03fc3aba8b006ab5a4b3cec481958a3290630cca80d4,False,7817,7814,0,3,1007,352,8824,0.0,0.00001200,0.03907000,0.00000000,0.02014000,0.05922200,combined_03/discovery/agent00_find_figures.json#4
combined_03,discovery,agent00_find_figures:xref:73,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:31:28.046324+00:00,resp_0c39f7befe33dead006ab5a4c0587081958689dde39fa1362e,False,7842,7839,0,3,1420,516,9262,0.0,0.00001200,0.03919500,0.00000000,0.02840000,0.06760700,combined_03/discovery/agent00_find_figures.json#5
combined_03,discovery,agent00_find_figures:xref:86,agent00-discovery,6,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T22:31:43.360999+00:00,resp_0bbbf73fc84afb7a006ab5a4d00bfc8196ac060f0346d3c004,False,7907,7904,0,3,1195,385,9102,0.0,0.00001200,0.03952000,0.00000000,0.02390000,0.06343200,combined_03/discovery/agent00_find_figures.json#6
